step,time,distance,angle,eq0_force_distance,eq1_force_distance,eq2_force_distance,eq0_force_angle,eq1_force_angle,eq2_force_angle,eq0_impulse,eq1_impulse,eq2_impulse,diagnostics_flags,condition_number,condition_number_spectral,condition_gap,min_eigenvalue,max_eigenvalue,active_equations,drop_events_step,drop_index_mask_step,drop_events_total,recovery_events_step,recovery_steps_step,recovery_events_total,pending_drop_count,max_pending_steps_running
31,0.108500,0.745252,0.332497,-0.153724,0.000000,0.020070,0.306306,0.000000,-0.138580,0.000314,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,31
32,0.112000,0.745256,0.332498,-0.153749,0.000000,0.020010,0.306341,0.000000,-0.138626,0.000314,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,32
33,0.115500,0.745261,0.332499,-0.153774,0.000000,0.019951,0.306377,0.000000,-0.138672,0.000315,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,33
34,0.119000,0.745265,0.332500,-0.153799,0.000000,0.019891,0.306412,0.000000,-0.138718,0.000315,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,34
35,0.122500,0.745270,0.332501,-0.153824,0.000000,0.019832,0.306447,0.000000,-0.138764,0.000316,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,35
36,0.126000,0.745274,0.332503,-0.153849,0.000000,0.019773,0.306482,0.000000,-0.138810,0.000316,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,36
37,0.129500,0.745278,0.332504,-0.153874,0.000000,0.019714,0.306518,0.000000,-0.138856,0.000317,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,37
38,0.133000,0.745283,0.332505,-0.153899,0.000000,0.019655,0.306553,0.000000,-0.138901,0.000317,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,38
39,0.136500,0.745287,0.332506,-0.153924,0.000000,0.019596,0.306588,0.000000,-0.138947,0.000318,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,39
40,0.140000,0.745292,0.332507,-0.153948,0.000000,0.019537,0.306622,0.000000,-0.138992,0.000318,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,40
41,0.143500,0.745296,0.332508,-0.153973,0.000000,0.019478,0.306657,0.000000,-0.139037,0.000318,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,41
42,0.147000,0.745300,0.332509,-0.153998,0.000000,0.019420,0.306692,0.000000,-0.139083,0.000319,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,42
43,0.150500,0.745305,0.332510,-0.154022,0.000000,0.019361,0.306727,0.000000,-0.139128,0.000319,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,43
44,0.154000,0.745309,0.332511,-0.154047,0.000000,0.019303,0.306761,0.000000,-0.139173,0.000320,0.000000,0.000418,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,44
45,0.157500,0.745313,0.332512,-0.154071,0.000000,0.019245,0.306796,0.000000,-0.139218,0.000320,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,45
46,0.161000,0.745318,0.332513,-0.154096,0.000000,0.019187,0.306830,0.000000,-0.139263,0.000321,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,46
47,0.164500,0.745322,0.332515,-0.154120,0.000000,0.019129,0.306865,0.000000,-0.139308,0.000321,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,47
48,0.168000,0.745326,0.332516,-0.154145,0.000000,0.019071,0.306899,0.000000,-0.139352,0.000322,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,48
49,0.171500,0.745331,0.332517,-0.154169,0.000000,0.019014,0.306934,0.000000,-0.139397,0.000322,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,49
50,0.175000,0.745335,0.332518,-0.154193,0.000000,0.018956,0.306968,0.000000,-0.139441,0.000323,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,50
51,0.178500,0.745339,0.332519,-0.154217,0.000000,0.018899,0.307002,0.000000,-0.139486,0.000323,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,51
52,0.182000,0.745344,0.332520,-0.154242,0.000000,0.018841,0.307036,0.000000,-0.139530,0.000323,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,52
53,0.185500,0.745348,0.332521,-0.154266,0.000000,0.018784,0.307070,0.000000,-0.139575,0.000324,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,53
54,0.189000,0.745352,0.332522,-0.154290,0.000000,0.018727,0.307104,0.000000,-0.139619,0.000324,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,54
55,0.192500,0.745357,0.332523,-0.154314,0.000000,0.018670,0.307138,0.000000,-0.139663,0.000325,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,55
56,0.196000,0.745361,0.332524,-0.154338,0.000000,0.018613,0.307172,0.000000,-0.139707,0.000325,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,56
57,0.199500,0.745365,0.332525,-0.154362,0.000000,0.018556,0.307206,0.000000,-0.139751,0.000326,0.000000,0.000419,2,1.088235e+01,3.873141e+00,7.009211e+00,9.420841e-01,3.648825e+00,2,0,0,1,0,-1,0,1,57
