time,pos_x,pos_y,angle,vx,vy,omega,translation_x,translation_y,orientation_error,motor_force_x,motor_force_y,limit_force_x,limit_force_y,limit_spring_force_x,limit_spring_force_y,motor_mode_x,motor_mode_y,motor_target_x,motor_target_y,orientation_target,limit_state_x,limit_state_y,limit_lower_y,limit_upper_y,stage
0.444000,0.054177,0.005378,0.000000,0.320597,-0.247587,0.000000,0.054177,0.005378,0.000000,11.722012,24.532433,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.464000,0.059789,-0.000334,0.000000,0.237996,-0.257007,0.000000,0.059789,-0.000334,0.000000,-25.197947,15.227289,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.484000,0.065346,-0.005590,0.000000,0.251402,-0.322828,0.000000,0.065346,-0.005590,0.000000,-14.018622,-25.588501,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.504000,0.070069,-0.011138,0.000000,0.220757,-0.243488,0.000000,0.070069,-0.011138,0.000000,-25.597361,13.341408,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.524000,0.075308,-0.016546,0.000000,0.236990,-0.290654,0.000000,0.075308,-0.016546,0.000000,-13.255112,-14.648697,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.544000,0.080449,-0.022233,0.000000,0.249959,-0.258149,0.000000,0.080449,-0.022233,0.000000,-2.627765,-2.909869,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.564000,0.085172,-0.026953,0.000000,0.183322,-0.188691,0.000000,0.085172,-0.026953,0.000000,-36.000000,33.761272,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.584000,0.090005,-0.031690,0.000000,0.237196,-0.219946,0.000000,0.090005,-0.031690,0.000000,-1.363639,8.662424,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.604000,0.094954,-0.036228,0.000000,0.296187,-0.205058,0.000000,0.094954,-0.036228,0.000000,36.000000,12.488320,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.624000,0.099500,-0.040560,0.000000,0.224919,-0.178989,0.000000,0.099500,-0.040560,0.000000,0.000000,26.503754,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.644000,0.103644,-0.044826,0.000000,0.153477,-0.240957,0.000000,0.103644,-0.044826,0.000000,-36.000000,-12.409794,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.664000,0.107902,-0.048859,0.000000,0.208650,-0.161530,0.000000,0.107902,-0.048859,0.000000,-1.322954,24.184494,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.684000,0.112291,-0.053424,0.000000,0.268850,-0.220984,0.000000,0.112291,-0.053424,0.000000,36.000000,-9.290877,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.704000,0.116294,-0.057036,0.000000,0.197883,-0.244124,0.000000,0.116294,-0.057036,0.000000,0.000000,-28.550002,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.724000,0.119916,-0.060418,0.000000,0.127591,-0.168663,0.000000,0.119916,-0.060418,0.000000,-36.000000,11.336706,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.744000,0.123662,-0.064525,0.000000,0.184025,-0.139653,0.000000,0.123662,-0.064525,0.000000,-1.030773,27.107469,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.764000,0.127560,-0.068046,0.000000,0.244332,-0.201791,0.000000,0.127560,-0.068046,0.000000,36.000000,-11.394538,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.784000,0.131086,-0.071483,0.000000,0.174550,-0.183821,0.000000,0.131086,-0.071483,0.000000,0.000000,-5.139717,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.804000,0.134241,-0.074686,0.000000,0.104340,-0.118276,0.000000,0.134241,-0.074686,0.000000,-36.000000,30.191607,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.824000,0.137544,-0.077901,0.000000,0.161815,-0.136008,0.000000,0.137544,-0.077901,0.000000,-1.034334,13.688892,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.844000,0.141006,-0.081290,0.000000,0.223293,-0.204897,0.000000,0.141006,-0.081290,0.000000,36.000000,-23.575147,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.864000,0.144110,-0.083915,0.000000,0.153408,-0.130390,0.000000,0.144110,-0.083915,0.000000,0.016731,11.682441,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.884000,0.146861,-0.087576,0.000000,0.084346,-0.167154,0.000000,0.146861,-0.087576,0.000000,-36.000000,-9.689855,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.904000,0.149766,-0.090115,0.000000,0.142817,-0.190474,0.000000,0.149766,-0.090115,0.000000,-0.757617,-28.104626,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.924000,0.152848,-0.092464,0.000000,0.204078,-0.116142,0.000000,0.152848,-0.092464,0.000000,36.000000,11.969772,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.944000,0.155583,-0.095031,0.000000,0.135431,-0.090860,0.000000,0.155583,-0.095031,0.000000,0.000000,27.106936,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.964000,0.157970,-0.097599,0.000000,0.066159,-0.154667,0.000000,0.157970,-0.097599,0.000000,-36.000000,-11.467088,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
0.984000,0.160533,-0.100134,0.000000,0.125382,-0.127997,0.000000,0.160533,-0.100134,0.000000,-0.864618,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.004000,0.163277,-0.102381,0.000000,0.187962,-0.059181,0.000000,0.163277,-0.102381,0.000000,36.000000,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.024000,0.165684,-0.104804,0.000000,0.118945,-0.118789,0.000000,0.165684,-0.104804,0.000000,0.038698,0.745445,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.044000,0.167759,-0.107415,0.000000,0.050769,-0.181247,0.000000,0.167759,-0.107415,0.000000,-36.000000,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.064000,0.170012,-0.109693,0.000000,0.110894,-0.112571,0.000000,0.170012,-0.109693,0.000000,-0.527297,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.084000,0.172461,-0.111642,0.000000,0.172813,-0.044494,0.000000,0.172461,-0.111642,0.000000,36.000000,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.104000,0.174582,-0.113774,0.000000,0.105025,-0.104891,0.000000,0.174582,-0.113774,0.000000,0.000000,0.519795,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.124000,0.176374,-0.116105,0.000000,0.036564,-0.167089,0.000000,0.176374,-0.116105,0.000000,-36.000000,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.144000,0.178363,-0.118113,0.000000,0.097153,-0.099502,0.000000,0.178363,-0.118113,0.000000,-0.719517,0.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.164000,0.180549,-0.119795,0.000000,0.160530,-0.031115,0.000000,0.180549,-0.119795,0.000000,36.000000,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.184000,0.182415,-0.121675,0.000000,0.092171,-0.091983,0.000000,0.182415,-0.121675,0.000000,0.032878,0.655100,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.204000,0.183968,-0.123759,0.000000,0.024782,-0.155442,0.000000,0.183968,-0.123759,0.000000,-36.000000,-36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.224000,0.185714,-0.125525,0.000000,0.086089,-0.087210,0.000000,0.185714,-0.125525,0.000000,-0.371918,-0.039051,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
1.244000,0.187672,-0.126979,0.000000,0.148621,-0.019936,0.000000,0.187672,-0.126979,0.000000,36.000000,36.000000,0.000000,0.000000,0.000000,0.000000,1,1,0.240000,-0.180000,0.000000,0,0,-0.300000,0.050000,0
